Year,Sector,Fuel,Consumption_ktoe
1970,Industry,Coal,12681.0
1971,Industry,Coal,10232.0
1972,Industry,Coal,7675.0
1973,Industry,Coal,7950.0
1974,Industry,Coal,7290.0
1975,Industry,Coal,6373.0
1976,Industry,Coal,5902.0
1977,Industry,Coal,5947.0
1978,Industry,Coal,5627.0
1979,Industry,Coal,6081.0
1980,Industry,Coal,5083.0
1981,Industry,Coal,4534.0
1982,Industry,Coal,4668.0
1983,Industry,Coal,4708.0
1984,Industry,Coal,3796.0
1985,Industry,Coal,4708.0
1986,Industry,Coal,5242.0
1987,Industry,Coal,4048.0
1988,Industry,Coal,4166.0
1989,Industry,Coal,4489.0
1990,Industry,Coal,4172.0
1991,Industry,Coal,4270.0
1992,Industry,Coal,4375.0
1993,Industry,Coal,3553.0
1994,Industry,Coal,3402.0
1995,Industry,Coal,2840.0
1996,Industry,Coal,1959.4604401333877
1997,Industry,Coal,1963.1071607044119
1998,Industry,Coal,1606.825109352182
1999,Industry,Coal,1353.4860278212195
2000,Industry,Coal,1227.7435056157328
2001,Industry,Coal,1194.95510828554
2002,Industry,Coal,1185.6830485784485
2003,Industry,Coal,1247.9660292310678
2004,Industry,Coal,1235.2520132036439
2005,Industry,Coal,1179.924430602071
2006,Industry,Coal,1163.648436041872
2007,Industry,Coal,1268.4052921213993
2008,Industry,Coal,1296.1614753611334
2009,Industry,Coal,1151.76
2010,Industry,Coal,1311.22
2011,Industry,Coal,1193.62
2012,Industry,Coal,1212.4
2013,Industry,Coal,1555.2
2014,Industry,Coal,1626.99
2015,Industry,Coal,1380.17
2016,Industry,Coal,1304.19
2017,Industry,Coal,1124.85
2018,Industry,Coal,1071.67
2019,Industry,Coal,930.57
2020,Industry,Coal,799.09
2021,Industry,Coal,754.99
2022,Industry,Coal,709.87
2023,Industry,Coal,668.31
1970,Industry,"Coke and breeze
[Note 2]",9655.0
1971,Industry,"Coke and breeze
[Note 2]",8298.0
1972,Industry,"Coke and breeze
[Note 2]",7832.0
1973,Industry,"Coke and breeze
[Note 2]",8340.0
1974,Industry,"Coke and breeze
[Note 2]",7167.0
1975,Industry,"Coke and breeze
[Note 2]",6338.0
1976,Industry,"Coke and breeze
[Note 2]",7129.0
1977,Industry,"Coke and breeze
[Note 2]",6368.0
1978,Industry,"Coke and breeze
[Note 2]",5932.0
1979,Industry,"Coke and breeze
[Note 2]",6512.0
1980,Industry,"Coke and breeze
[Note 2]",3335.0
1981,Industry,"Coke and breeze
[Note 2]",4564.0
1982,Industry,"Coke and breeze
[Note 2]",4083.0
1983,Industry,"Coke and breeze
[Note 2]",4307.0
1984,Industry,"Coke and breeze
[Note 2]",4408.0
1985,Industry,"Coke and breeze
[Note 2]",4655.0
1986,Industry,"Coke and breeze
[Note 2]",4144.0
1987,Industry,"Coke and breeze
[Note 2]",4660.0
1988,Industry,"Coke and breeze
[Note 2]",5041.0
1989,Industry,"Coke and breeze
[Note 2]",4286.0
1990,Industry,"Coke and breeze
[Note 2]",3951.0
1991,Industry,"Coke and breeze
[Note 2]",3691.0
1992,Industry,"Coke and breeze
[Note 2]",3601.0
1993,Industry,"Coke and breeze
[Note 2]",3613.0
1994,Industry,"Coke and breeze
[Note 2]",3818.0
1995,Industry,"Coke and breeze
[Note 2]",3750.0
1996,Industry,"Coke and breeze
[Note 2]",855.2974777873316
1997,Industry,"Coke and breeze
[Note 2]",787.2687016337059
1998,Industry,"Coke and breeze
[Note 2]",803.214865768606
1999,Industry,"Coke and breeze
[Note 2]",819.6904557179707
2000,Industry,"Coke and breeze
[Note 2]",753.4489347473011
2001,Industry,"Coke and breeze
[Note 2]",718.5917645934842
2002,Industry,"Coke and breeze
[Note 2]",610.4147006206151
2003,Industry,"Coke and breeze
[Note 2]",588.6011583287374
2004,Industry,"Coke and breeze
[Note 2]",559.2062943993291
2005,Industry,"Coke and breeze
[Note 2]",534.7364358922808
2006,Industry,"Coke and breeze
[Note 2]",487.618744627156
2007,Industry,"Coke and breeze
[Note 2]",513.0506114417373
2008,Industry,"Coke and breeze
[Note 2]",442.7704420589167
2009,Industry,"Coke and breeze
[Note 2]",387.2713339884535
2010,Industry,"Coke and breeze
[Note 2]",338.78946430277466
2011,Industry,"Coke and breeze
[Note 2]",306.2765982884985
2012,Industry,"Coke and breeze
[Note 2]",375.18478196781723
2013,Industry,"Coke and breeze
[Note 2]",504.4599183823757
2014,Industry,"Coke and breeze
[Note 2]",482.7075127270742
2015,Industry,"Coke and breeze
[Note 2]",395.45200726091537
2016,Industry,"Coke and breeze
[Note 2]",224.84028620562586
2017,Industry,"Coke and breeze
[Note 2]",210.3337984004149
2018,Industry,"Coke and breeze
[Note 2]",192.92275723703065
2019,Industry,"Coke and breeze
[Note 2]",198.43605617655493
2020,Industry,"Coke and breeze
[Note 2]",207.73734594439665
2021,Industry,"Coke and breeze
[Note 2]",221.61881627973634
2022,Industry,"Coke and breeze
[Note 2]",237.58289863380145
2023,Industry,"Coke and breeze
[Note 2]",157.17741950893284
1970,Industry,"Other solid fuels
[Note 3]",209.0
1971,Industry,"Other solid fuels
[Note 3]",176.0
1972,Industry,"Other solid fuels
[Note 3]",252.0
1973,Industry,"Other solid fuels
[Note 3]",226.0
1974,Industry,"Other solid fuels
[Note 3]",201.0
1975,Industry,"Other solid fuels
[Note 3]",199.0
1976,Industry,"Other solid fuels
[Note 3]",131.0
1977,Industry,"Other solid fuels
[Note 3]",158.0
1978,Industry,"Other solid fuels
[Note 3]",179.0
1979,Industry,"Other solid fuels
[Note 3]",148.0
1980,Industry,"Other solid fuels
[Note 3]",133.0
1981,Industry,"Other solid fuels
[Note 3]",116.0
1982,Industry,"Other solid fuels
[Note 3]",144.0
1983,Industry,"Other solid fuels
[Note 3]",126.0
1984,Industry,"Other solid fuels
[Note 3]",68.0
1985,Industry,"Other solid fuels
[Note 3]",151.0
